Month,ProductID,RetailPartner,AdjustedQty,InventoryQty,CompanyTransportCapacity,CompanyWarehouseCapacity,Description,RequestedQtyPct,InventoryUtilizationPct,AllocationFlag,AllocatedQty
2025-05-01,P0001,RetailPartner1,55,295,900,400,Product 1 description,35.947712418300654,51.86440677966102,1,55
2025-06-01,P0001,RetailPartner1,61,242,500,300,Product 1 description,40.666666666666664,61.98347107438016,1,61
2025-07-01,P0001,RetailPartner1,27,216,450,120,Product 1 description,34.61538461538461,36.111111111111114,1,27
2025-08-01,P0001,RetailPartner1,126,155,720,200,Product 1 description,36.8421052631579,220.6451612903226,1,57
2025-09-01,P0001,RetailPartner1,5,108,100,50,Product 1 description,29.41176470588235,15.74074074074074,1,5
2025-10-01,P0001,RetailPartner1,-6,94,100,10,Product 1 description,26.08695652173913,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner1,5,99,100,10,Product 1 description,23.80952380952381,21.21212121212121,1,3
2025-12-01,P0001,RetailPartner1,16,117,200,100,Product 1 description,43.24324324324324,31.623931623931625,1,16
2025-05-01,P0001,RetailPartner2,70,295,900,400,Product 1 description,45.751633986928105,51.86440677966102,1,70
2025-06-01,P0001,RetailPartner2,66,242,500,250,Product 1 description,44.0,61.98347107438016,1,66
2025-07-01,P0001,RetailPartner2,31,216,450,160,Product 1 description,39.743589743589745,36.111111111111114,1,31
2025-08-01,P0001,RetailPartner2,116,155,720,190,Product 1 description,33.91812865497076,220.6451612903226,1,52
2025-09-01,P0001,RetailPartner2,5,108,100,20,Product 1 description,29.41176470588235,15.74074074074074,1,5
2025-10-01,P0001,RetailPartner2,-9,94,100,10,Product 1 description,39.130434782608695,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner2,4,99,100,10,Product 1 description,19.047619047619047,21.21212121212121,1,0
2025-12-01,P0001,RetailPartner2,15,117,200,100,Product 1 description,40.54054054054054,31.623931623931625,1,15
2025-05-01,P0001,RetailPartner3,15,295,900,100,Product 1 description,9.803921568627452,51.86440677966102,1,15
2025-06-01,P0001,RetailPartner3,13,242,500,50,Product 1 description,8.666666666666666,61.98347107438016,1,13
2025-07-01,P0001,RetailPartner3,11,216,450,30,Product 1 description,14.102564102564102,36.111111111111114,1,11
2025-08-01,P0001,RetailPartner3,50,155,720,170,Product 1 description,14.619883040935672,220.6451612903226,1,0
2025-09-01,P0001,RetailPartner3,7,108,100,20,Product 1 description,41.1764705882353,15.74074074074074,1,7
2025-10-01,P0001,RetailPartner3,0,94,100,20,Product 1 description,-0.0,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner3,10,99,100,20,Product 1 description,47.61904761904762,21.21212121212121,1,10
2025-12-01,P0001,RetailPartner3,0,117,200,20,Product 1 description,0.0,31.623931623931625,0,0
2025-05-01,P0001,RetailPartner4,13,295,900,50,Product 1 description,8.49673202614379,51.86440677966102,1,13
2025-06-01,P0001,RetailPartner4,10,242,500,70,Product 1 description,6.666666666666667,61.98347107438016,1,10
2025-07-01,P0001,RetailPartner4,9,216,450,40,Product 1 description,11.538461538461538,36.111111111111114,1,9
2025-08-01,P0001,RetailPartner4,50,155,720,170,Product 1 description,14.619883040935672,220.6451612903226,1,0
2025-09-01,P0001,RetailPartner4,0,108,100,20,Product 1 description,0.0,15.74074074074074,0,0
2025-10-01,P0001,RetailPartner4,-8,94,100,20,Product 1 description,34.78260869565217,-24.46808510638298,0,0
2025-11-01,P0001,RetailPartner4,2,99,100,20,Product 1 description,9.523809523809524,21.21212121212121,1,2
2025-12-01,P0001,RetailPartner4,6,117,200,30,Product 1 description,16.216216216216218,31.623931623931625,1,6
2025-05-01,P0002,RetailPartner1,163,277,900,400,Product 2 description,47.66081871345029,123.46570397111914,1,132
2025-06-01,P0002,RetailPartner1,51,243,500,300,Product 2 description,37.77777777777778,55.55555555555556,1,51
2025-07-01,P0002,RetailPartner1,30,173,450,120,Product 2 description,37.9746835443038,45.664739884393065,1,30
2025-08-01,P0002,RetailPartner1,50,143,720,200,Product 2 description,16.666666666666668,209.7902097902098,1,0
2025-09-01,P0002,RetailPartner1,-2,69,100,50,Product 2 description,200.0,-1.4492753623188406,0,0
2025-10-01,P0002,RetailPartner1,7,63,100,10,Product 2 description,33.333333333333336,33.333333333333336,1,7
2025-11-01,P0002,RetailPartner1,-1,105,100,10,Product 2 description,25.0,-3.8095238095238093,0,0
2025-12-01,P0002,RetailPartner1,16,113,200,100,Product 2 description,30.18867924528302,46.902654867256636,1,16
2025-05-01,P0002,RetailPartner2,161,277,900,400,Product 2 description,47.07602339181287,123.46570397111914,1,130
2025-06-01,P0002,RetailPartner2,61,243,500,250,Product 2 description,45.18518518518518,55.55555555555556,1,61
2025-07-01,P0002,RetailPartner2,32,173,450,160,Product 2 description,40.50632911392405,45.664739884393065,1,32
2025-08-01,P0002,RetailPartner2,50,143,720,190,Product 2 description,16.666666666666668,209.7902097902098,1,0
2025-09-01,P0002,RetailPartner2,2,69,100,20,Product 2 description,-200.0,-1.4492753623188406,1,2
2025-10-01,P0002,RetailPartner2,10,63,100,10,Product 2 description,47.61904761904762,33.333333333333336,1,10
2025-11-01,P0002,RetailPartner2,0,105,100,10,Product 2 description,-0.0,-3.8095238095238093,0,0
2025-12-01,P0002,RetailPartner2,29,113,200,100,Product 2 description,54.716981132075475,46.902654867256636,1,29
2025-05-01,P0002,RetailPartner3,11,277,900,100,Product 2 description,3.216374269005848,123.46570397111914,1,8
2025-06-01,P0002,RetailPartner3,6,243,500,50,Product 2 description,4.444444444444445,55.55555555555556,1,6
2025-07-01,P0002,RetailPartner3,6,173,450,30,Product 2 description,7.594936708860759,45.664739884393065,1,6
2025-08-01,P0002,RetailPartner3,100,143,720,170,Product 2 description,33.333333333333336,209.7902097902098,1,47
2025-09-01,P0002,RetailPartner3,2,69,100,20,Product 2 description,-200.0,-1.4492753623188406,1,2
2025-10-01,P0002,RetailPartner3,4,63,100,20,Product 2 description,19.047619047619047,33.333333333333336,1,4
2025-11-01,P0002,RetailPartner3,-8,105,100,20,Product 2 description,200.0,-3.8095238095238093,0,0
2025-12-01,P0002,RetailPartner3,5,113,200,20,Product 2 description,9.433962264150944,46.902654867256636,1,5
2025-05-01,P0002,RetailPartner4,7,277,900,50,Product 2 description,2.046783625730994,123.46570397111914,1,5
2025-06-01,P0002,RetailPartner4,17,243,500,70,Product 2 description,12.592592592592593,55.55555555555556,1,17
2025-07-01,P0002,RetailPartner4,11,173,450,40,Product 2 description,13.924050632911392,45.664739884393065,1,11
2025-08-01,P0002,RetailPartner4,100,143,720,170,Product 2 description,33.333333333333336,209.7902097902098,1,47
2025-09-01,P0002,RetailPartner4,-3,69,100,20,Product 2 description,300.0,-1.4492753623188406,0,0
2025-10-01,P0002,RetailPartner4,0,63,100,20,Product 2 description,0.0,33.333333333333336,0,0
2025-11-01,P0002,RetailPartner4,5,105,100,20,Product 2 description,-125.0,-3.8095238095238093,1,5
2025-12-01,P0002,RetailPartner4,3,113,200,30,Product 2 description,5.660377358490566,46.902654867256636,1,3
2025-05-01,P0003,RetailPartner1,67,302,900,400,Product 3 description,48.55072463768116,45.6953642384106,1,67
2025-06-01,P0003,RetailPartner1,57,249,500,300,Product 3 description,49.13793103448276,46.5863453815261,1,57
2025-07-01,P0003,RetailPartner1,41,214,450,120,Product 3 description,41.83673469387755,45.794392523364486,1,41
2025-08-01,P0003,RetailPartner1,8,134,720,200,Product 3 description,25.0,23.880597014925375,1,8
2025-09-01,P0003,RetailPartner1,7,102,100,50,Product 3 description,100.0,6.862745098039215,1,7
2025-10-01,P0003,RetailPartner1,-3,76,100,10,Product 3 description,-37.5,10.526315789473685,0,0
2025-11-01,P0003,RetailPartner1,2,85,100,10,Product 3 description,10.0,23.529411764705884,1,0
2025-12-01,P0003,RetailPartner1,24,122,200,100,Product 3 description,46.15384615384615,42.622950819672134,1,24
2025-05-01,P0003,RetailPartner2,61,302,900,400,Product 3 description,44.20289855072464,45.6953642384106,1,61
2025-06-01,P0003,RetailPartner2,50,249,500,250,Product 3 description,43.10344827586207,46.5863453815261,1,50
2025-07-01,P0003,RetailPartner2,54,214,450,160,Product 3 description,55.10204081632653,45.794392523364486,1,54
2025-08-01,P0003,RetailPartner2,10,134,720,190,Product 3 description,31.25,23.880597014925375,1,10
2025-09-01,P0003,RetailPartner2,0,102,100,20,Product 3 description,0.0,6.862745098039215,0,0
2025-10-01,P0003,RetailPartner2,1,76,100,10,Product 3 description,12.5,10.526315789473685,1,0
2025-11-01,P0003,RetailPartner2,10,85,100,10,Product 3 description,50.0,23.529411764705884,1,10
2025-12-01,P0003,RetailPartner2,18,122,200,100,Product 3 description,34.61538461538461,42.622950819672134,1,18
2025-05-01,P0003,RetailPartner3,4,302,900,100,Product 3 description,2.898550724637681,45.6953642384106,1,4
2025-06-01,P0003,RetailPartner3,1,249,500,50,Product 3 description,0.8620689655172413,46.5863453815261,1,1
2025-07-01,P0003,RetailPartner3,0,214,450,30,Product 3 description,0.0,45.794392523364486,0,0
2025-08-01,P0003,RetailPartner3,9,134,720,170,Product 3 description,28.125,23.880597014925375,1,9
2025-09-01,P0003,RetailPartner3,0,102,100,20,Product 3 description,0.0,6.862745098039215,0,0
2025-10-01,P0003,RetailPartner3,10,76,100,20,Product 3 description,125.0,10.526315789473685,1,10
2025-11-01,P0003,RetailPartner3,0,85,100,20,Product 3 description,0.0,23.529411764705884,0,0
2025-12-01,P0003,RetailPartner3,3,122,200,20,Product 3 description,5.769230769230769,42.622950819672134,1,3
2025-05-01,P0003,RetailPartner4,6,302,900,50,Product 3 description,4.3478260869565215,45.6953642384106,1,6
2025-06-01,P0003,RetailPartner4,8,249,500,70,Product 3 description,6.896551724137931,46.5863453815261,1,8
2025-07-01,P0003,RetailPartner4,3,214,450,40,Product 3 description,3.061224489795918,45.794392523364486,1,3
2025-08-01,P0003,RetailPartner4,5,134,720,170,Product 3 description,15.625,23.880597014925375,1,5
2025-09-01,P0003,RetailPartner4,0,102,100,20,Product 3 description,0.0,6.862745098039215,0,0
2025-10-01,P0003,RetailPartner4,0,76,100,20,Product 3 description,0.0,10.526315789473685,0,0
2025-11-01,P0003,RetailPartner4,8,85,100,20,Product 3 description,40.0,23.529411764705884,1,8
2025-12-01,P0003,RetailPartner4,7,122,200,30,Product 3 description,13.461538461538462,42.622950819672134,1,7
2025-05-01,P0004,RetailPartner1,56,290,900,400,Product 4 description,35.22012578616352,54.827586206896555,1,56
2025-06-01,P0004,RetailPartner1,51,267,500,300,Product 4 description,35.172413793103445,54.30711610486891,1,51
2025-07-01,P0004,RetailPartner1,30,176,450,120,Product 4 description,38.96103896103896,43.75,1,22
2025-08-01,P0004,RetailPartner1,14,145,720,200,Product 4 description,43.75,22.06896551724138,1,14
2025-09-01,P0004,RetailPartner1,5,100,100,50,Product 4 description,250.0,2.0,1,5
2025-10-01,P0004,RetailPartner1,-1,81,100,10,Product 4 description,-50.0,2.4691358024691357,0,0
2025-11-01,P0004,RetailPartner1,7,97,100,10,Product 4 description,175.0,4.123711340206185,1,7
2025-12-01,P0004,RetailPartner1,14,153,200,100,Product 4 description,48.275862068965516,18.954248366013072,1,14
2025-05-01,P0004,RetailPartner2,71,290,900,400,Product 4 description,44.65408805031446,54.827586206896555,1,71
2025-06-01,P0004,RetailPartner2,63,267,500,250,Product 4 description,43.44827586206897,54.30711610486891,1,48
2025-07-01,P0004,RetailPartner2,34,176,450,160,Product 4 description,44.15584415584416,43.75,1,34
2025-08-01,P0004,RetailPartner2,10,145,720,190,Product 4 description,31.25,22.06896551724138,1,10
2025-09-01,P0004,RetailPartner2,8,100,100,20,Product 4 description,400.0,2.0,1,8
2025-10-01,P0004,RetailPartner2,0,81,100,10,Product 4 description,0.0,2.4691358024691357,0,0
2025-11-01,P0004,RetailPartner2,-5,97,100,10,Product 4 description,-125.0,4.123711340206185,0,0
2025-12-01,P0004,RetailPartner2,22,153,200,100,Product 4 description,75.86206896551724,18.954248366013072,1,22
2025-05-01,P0004,RetailPartner3,15,290,900,100,Product 4 description,9.433962264150944,54.827586206896555,1,15
2025-06-01,P0004,RetailPartner3,19,267,500,50,Product 4 description,13.10344827586207,54.30711610486891,1,0
2025-07-01,P0004,RetailPartner3,5,176,450,30,Product 4 description,6.4935064935064934,43.75,1,5
2025-08-01,P0004,RetailPartner3,1,145,720,170,Product 4 description,3.125,22.06896551724138,1,1
2025-09-01,P0004,RetailPartner3,0,100,100,20,Product 4 description,0.0,2.0,0,0
2025-10-01,P0004,RetailPartner3,0,81,100,20,Product 4 description,0.0,2.4691358024691357,0,0
2025-11-01,P0004,RetailPartner3,3,97,100,20,Product 4 description,75.0,4.123711340206185,1,3
2025-12-01,P0004,RetailPartner3,-3,153,200,20,Product 4 description,-10.344827586206897,18.954248366013072,0,0
2025-05-01,P0004,RetailPartner4,17,290,900,50,Product 4 description,10.69182389937107,54.827586206896555,1,17
2025-06-01,P0004,RetailPartner4,12,267,500,70,Product 4 description,8.275862068965518,54.30711610486891,1,0
2025-07-01,P0004,RetailPartner4,8,176,450,40,Product 4 description,10.38961038961039,43.75,1,8
2025-08-01,P0004,RetailPartner4,7,145,720,170,Product 4 description,21.875,22.06896551724138,1,7
2025-09-01,P0004,RetailPartner4,-11,100,100,20,Product 4 description,-550.0,2.0,0,0
2025-10-01,P0004,RetailPartner4,3,81,100,20,Product 4 description,150.0,2.4691358024691357,1,3
2025-11-01,P0004,RetailPartner4,-1,97,100,20,Product 4 description,-25.0,4.123711340206185,0,0
2025-12-01,P0004,RetailPartner4,-4,153,200,30,Product 4 description,-13.793103448275861,18.954248366013072,0,0
